Name,Exchange,SuperSector
Bank of Baroda Uganda Ltd. (BOBU),XUGA,Banking
CIPLA Quality Chemical Industries Ltd. (CQCIL),XUGA,Pharmaceuticals
NIC Holdings Ltd. (NIC),XUGA,Full-Line Insurance
Stanbic Bank Uganda Ltd. (SBU),XUGA,Banking
Uganda Clays Ltd. (UCL),XUGA,Building Materials/Products
Umeme Ltd. (UMEM),XUGA,Electric Utilities
